input,category,instructions,pilot,agent
How many EVs are there in the region?,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a total count of EVs or EV-owning customers detected in the dataset. 0.5: returns EV data broken down by segment without providing a territory total. 0.0: empty, refuses, returns non-EV appliance data, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
How many users are enrolled in the Cooling DR Program?,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a count of DR program enrollees, or clearly states the program is not found in the data. 0.5: returns cooling-related customers without filtering to DR program enrollees specifically. 0.0: empty, refuses, fabricates an enrollment count for a program not in the data, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
How many users have Solar installed?,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a count of customers with solar generation detected. 0.5: returns solar generation data without a direct customer count. 0.0: empty, refuses, returns non-solar data, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
How many users have an EV charger amplitude greater than 3 kW?,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a count of customers with EV charger amplitude above 3 kW, noting how the 3 kW threshold maps to available amplitude buckets. 0.5: returns a count without addressing how 3 kW aligns with available amplitude buckets. 0.0: empty, refuses, returns total EV customers without an amplitude filter, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Which area has the highest number of EVs?,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns the single geographic area with the highest EV count, with the count included. 0.5: returns multiple top areas rather than a single maximum, or omits the count. 0.0: empty, refuses, returns top areas by consumption instead of EV count, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
What is the count of large EV chargers (11 kW or above) broken down by region?,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a per-region count of EV chargers with amplitude of 11 kW or above, noting how 11 kW maps to available amplitude buckets. 0.5: returns EV charger counts by region without filtering to 11+ kW. 0.0: empty, refuses, returns total EV customers per region instead of amplitude-filtered counts, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Which regions have the highest heating consumption in the most recent December available?,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a ranked list of geographic areas by heating consumption for the most recent December in the dataset, naming the year. 0.5: returns high-heating regions for a different month or year, or returns ZIP-level data without regional aggregation. 0.0: empty, refuses, returns total consumption without a heating filter, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
What is the average daily EV charging consumption for customers with detected EV activity?,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns an average daily EV charging figure for EV-active customers, stating the period used. 0.5: returns average EV consumption as a monthly or annual total rather than a daily average. 0.0: empty, refuses, includes non-EV customers in the average, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
How much electricity do customers with inefficient heating appliances use for heating in winter?,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns an average or total heating consumption for customers identified as having inefficient heating, for a winter period. 0.5: returns heating consumption without filtering to inefficient-heating customers, or uses a non-winter period. 0.0: empty, refuses, returns total consumption without heating or inefficiency filter, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Show the top 25 customers by EV consumption,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a ranked list of up to 25 customers by EV consumption with identifiers and consumption values, stating the period used. Fewer than 25 is acceptable if the dataset has fewer qualifying customers. 0.5: returns top EV customers but omits consumption values or does not state the period used. 0.0: empty, refuses, returns a summary stat instead of a ranked list, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Pull all customers who have both solar and EV with their monthly consumption per appliance,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns customers filtered to both solar and EV detected, with monthly consumption split by appliance. 0.5: returns the right population but collapses the monthly breakdown or merges appliance consumption into one column. 0.0: empty, refuses, returns only solar or only EV customers, or has no appliance-level breakdown.",DEMO,ENERGY_AMI_AGENT_DEMO
What is the EV load pattern by time of day?,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns EV charging load broken down by hour or time bucket, making peak and off-peak hours identifiable. 0.5: discusses EV charging without a time-of-day breakdown, or returns only an aggregate total. 0.0: empty, refuses, returns EV data with no time dimension, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
How has EV adoption changed month over month over the last year?,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns month-by-month EV customer counts or adoption rate for the last 12 months with trend direction identifiable. 0.5: returns EV data for the period but not month-by-month, or covers only a subset of months. 0.0: empty, refuses, has no monthly breakdown, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Compare heating consumption between winter 2024 and winter 2025,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns heating consumption for both winters using a consistent seasonal definition and states the direction of change. 0.5: returns heating data for only one winter, or returns both without a comparison framing. 0.0: empty, refuses, returns non-heating data, or makes no reference to either winter period.",DEMO,ENERGY_AMI_AGENT_DEMO
"Analyze EV charging patterns by hour of day and day of week, segmented by charger amplitude group",Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns EV charging broken down by both hour-of-day and day-of-week, segmented by charger amplitude group. 0.5: returns hourly or day-of-week EV patterns but not both, or omits charger amplitude segmentation. 0.0: empty, refuses, returns aggregate EV consumption with no time or segment dimensions, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
"Which customers have inefficient heating and high winter usage, and how did you deduce this?",Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a customer list with both inefficient heating and high winter usage, AND explains the deduction methodology. 0.5: returns the customer list but without the deduction methodology, or gives methodology without a customer list. 0.0: empty, refuses, returns aggregates without a customer list, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Which regions have the highest concentration of inefficient HVAC customers?,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a ranked list of regions by concentration of inefficient HVAC customers, with the inefficiency definition stated. 0.5: returns regions with high HVAC consumption without normalizing for concentration or total customer count. 0.0: empty, refuses, returns total consumption by region without an HVAC inefficiency filter, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Which areas have the highest density of high-usage EV owners?,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a ranked list of areas by density of high-usage EV customers, with the high-usage threshold stated. 0.5: returns areas with many EV customers without filtering to high-usage, or returns raw counts without normalizing for density. 0.0: empty, refuses, returns total EV counts without geographic aggregation, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Give me a list of customers with low usage variability and no major appliances detected,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns customers with flat usage profiles AND no major appliances (EV, solar, heat pump, etc.) detected. 0.5: returns low-variability customers without checking for absence of major appliances. 0.0: empty, refuses, returns high-variability customers, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
How has EV penetration changed by feeder in the last 12 months?,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns per-feeder EV penetration over the last 12 months showing how each feeder changed over that period. 0.5: returns overall EV penetration without feeder-level breakdown, or covers a different time window. 0.0: empty, refuses, returns EV consumption instead of penetration metrics, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Show me feeders where cooling load is the primary driver of summer stress,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns feeders where cooling is identified as the dominant contributor to summer peak stress, with supporting metrics. 0.5: returns high-stress feeders in summer without isolating cooling as the driver. 0.0: empty, refuses, returns feeder data without cooling-specific analysis, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Summarize the main drivers of winter heating load growth across the service territory,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: identifies key factors driving heating load growth in winter with supporting data (e.g., customer growth, appliance shifts, weather). 0.5: returns winter heating trends without identifying drivers, or lists drivers without grounding them in data. 0.0: empty, refuses, returns summer or cooling data, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
"Compare cooling consumption trends between 2023, 2024, and 2025",Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a year-by-year comparison of cooling consumption across all three years with trend direction identifiable. 0.5: returns cooling data for two of the three years, or returns data without a comparison framing. 0.0: empty, refuses, returns heating instead of cooling, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Explain whether EV adoption appears to be accelerating or flattening by feeder,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns per-feeder EV adoption trends and draws a clear conclusion on acceleration vs. flattening for each or overall. 0.5: returns feeder-level EV counts without a clear acceleration/flattening conclusion. 0.0: empty, refuses, returns territory-level totals without feeder breakdown, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
What changed in appliance-level consumption patterns after the last rate change?,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: identifies the most recent rate change date, then compares appliance-level consumption before and after, highlighting shifts. 0.5: returns appliance trends without anchoring to a rate change date, or identifies the rate change without a before/after comparison. 0.0: empty, refuses, returns total consumption without appliance-level breakdown, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
"Why do some transformers show extremely high utilization rates, and what causes this?",Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: identifies over-utilized transformers and provides a data-grounded explanation or hypothesis (e.g., EV load concentration, capacity mismatch, data anomaly). 0.5: returns a list of over-utilized transformers without an explanatory analysis. 0.0: empty, refuses, returns normal-utilization transformers, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
How has EV ownership trended across the region over time?,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a territory-wide EV ownership trend over time (monthly or quarterly) showing growth or decline direction. 0.5: returns an EV ownership snapshot without a trend, or covers only a subset of the region. 0.0: empty, refuses, returns EV consumption instead of ownership count trends, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Which time period has the most frequent EV charging?,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: identifies the time period (hour, day of week, or season) with the highest EV charging frequency or session count. 0.5: returns EV charging volume without identifying the peak period explicitly, or returns consumption rather than frequency. 0.0: empty, refuses, returns general consumption with no EV charging frequency analysis, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Which region has the lowest median income and the highest number of inefficient appliances?,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: identifies the region(s) scoring high on both dimensions — low median income and high inefficient appliance count — with data supporting both. 0.5: ranks regions on only one criterion (income or appliances, not both). 0.0: empty, refuses, returns income or appliance data in isolation without a combined analysis, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Which customers consume the most electricity for EV charging during evening peak hours?,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a ranked list of customers by EV charging consumption during peak hours, stating the peak window used. 0.5: returns top EV charging customers without filtering to peak hours, or uses a different window without noting it. 0.0: empty, refuses, returns total consumption without EV or time-window filtering, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Show me the 24-hour average EV load curve comparing winter and summer,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns hour-by-hour average EV load for both a winter and summer period side by side, stating which periods were used. 0.5: returns the load curve for one season only, or returns monthly totals instead of a 24-hour profile. 0.0: empty, refuses, returns total EV consumption without hourly granularity, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
How many EV customers on an off-peak rate have more than 30% of their EV charging occurring during on-peak hours?,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a count of EV customers on an off-peak rate where more than 30% of EV charging occurs outside the designated off-peak window, stating the window used. 0.5: returns off-peak rate EV customers without the 30% on-peak filter, or applies a different time window. 0.0: empty, refuses, returns all EV customers regardless of rate plan, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
"Which feeders are over 100% capacity, and how many EVs are on each?",Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns feeders exceeding 100% capacity with the EV customer count on each feeder included. 0.5: returns over-capacity feeders without EV counts, or returns EV-heavy feeders without the 100% capacity filter. 0.0: empty, refuses, returns transformer or substation data instead of feeders, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Top 10 feeders by EV charging consumption with the number of EV customers on each,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a ranked list of up to 10 feeders by EV charging consumption with the EV customer count per feeder included. Fewer than 10 is acceptable if fewer feeders qualify. 0.5: returns top feeders by EV consumption but omits customer counts per feeder. 0.0: empty, refuses, returns total feeder consumption without EV-specific filtering, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
"Show heating consumption by region for areas where median household income is below $80,000",Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns per-region heating consumption filtered to areas with median income below $80,000, with both income and consumption values present. 0.5: returns heating by region without the income filter, or returns income data without heating consumption. 0.0: empty, refuses, returns cooling or total consumption instead of heating, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Show the monthly EV charging session count and EV consumption ratio for all EV owners,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a month-by-month breakdown with both session count and EV ratio (share of total consumption from EV) for EV customers. 0.5: returns monthly EV data but only one of the two metrics (session count or ratio), not both. 0.0: empty, refuses, returns aggregate EV consumption without session count or ratio, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
"Find 30 customers with high cooling usage who may be good candidates for a demand response program",Target Programs,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a ranked list of customers by high cooling usage, up to 30 records. Fewer than 30 is acceptable if fewer customers qualify — the threshold used should be stated. 0.5: returns high cooling customers ranked on non-cooling criteria, or applies no threshold at all. 0.0: empty, refuses, returns a count instead of a customer list, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
How many customers with high cooling usage are potential demand response candidates?,Target Programs,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a count of customers with high cooling usage qualifying as DR candidates, with the threshold stated. 0.5: returns high cooling customers as a list instead of a count, or applies no cooling-specific threshold. 0.0: empty, refuses, returns total customers without a cooling or DR filter, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Find customers with inefficient heating who could benefit from a heat pump rebate,Target Programs,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a customer list or segment ranked or filtered by heating inefficiency, with rationale stated. 0.5: returns all customers with heating without an inefficiency filter, or describes eligibility without customer output. 0.0: empty, refuses, returns customers based on unrelated appliances, or produces no customer output.",DEMO,ENERGY_AMI_AGENT_DEMO
"Find 30 customers for a heat pump rebate with the least efficient heating",Target Programs,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a ranked list of customers by heating inefficiency, up to 30 records. Fewer than 30 is acceptable if fewer customers qualify — the ranking criterion should be stated. 0.5: returns heating-related customers without applying an inefficiency ranking. 0.0: empty, refuses, returns a count instead of a customer list, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Target customers with both inefficient cooling and heating for a weatherization program,Target Programs,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a customer list filtered to those with inefficient cooling AND heating, suitable for weatherization outreach. 0.5: returns customers with inefficient cooling or heating but not both. 0.0: empty, refuses, returns customers filtered on unrelated criteria, or produces no customer output.",DEMO,ENERGY_AMI_AGENT_DEMO
"Target 50 high cooling usage customers in low-income areas for a weatherization program, ranked by inefficiency",Target Programs,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns customers with high cooling usage in low-income areas ranked by inefficiency, up to 50 records. Fewer than 50 is acceptable if fewer customers qualify — both filters and the ranking criterion should be stated. 0.5: returns high cooling customers but misses the income filter or the inefficiency ranking. 0.0: empty, refuses, returns a count instead of a ranked list, or ignores both filters.",DEMO,ENERGY_AMI_AGENT_DEMO
Identify customers who adopted EV in the last 6 months and are not on a time-of-use rate — list their current rate plan and average monthly EV consumption,Target Programs,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns customers with EV adoption in the last 6 months who are not on a TOU rate, with rate plan and avg monthly EV consumption as output columns. 0.5: returns recent EV adopters without filtering out TOU customers, or omits one of the two required output fields. 0.0: empty, refuses, returns all EV customers regardless of adoption date or rate plan, or has no rate/consumption data.",DEMO,ENERGY_AMI_AGENT_DEMO
Find all pool pump customers running during peak hours with high overall consumption — candidates for a demand response program,Target Programs,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns customers with pool pump activity during peak hours AND high overall consumption, stating the peak window used. 0.5: returns pool pump customers without the peak-hour filter, or applies only one of the two required filters. 0.0: empty, refuses, returns customers with no pool pump detection, or returns only a count.",DEMO,ENERGY_AMI_AGENT_DEMO
What strategies can drive higher EV penetration in the territory?,Target Programs,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns data-grounded insights or a target segment (e.g., high-consumption non-EV customers) to inform an EV penetration strategy. 0.5: provides general strategic advice without grounding it in the agent's data. 0.0: empty, refuses, returns unrelated data, or gives purely qualitative advice with no data reference.",DEMO,ENERGY_AMI_AGENT_DEMO
Who are the best candidates for a DSM program targeting EV owners?,Target Programs,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns EV customers ranked or filtered by DSM-relevant characteristics (e.g., high peak charging, large charger amplitude). 0.5: returns EV customers without DSM-relevant filtering or ranking. 0.0: empty, refuses, returns non-EV customers, or produces no actionable customer output.",DEMO,ENERGY_AMI_AGENT_DEMO
Top 5 grid assets with the highest EV charging utilization during peak periods,Target Programs,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a ranked list of up to 5 grid assets by EV charging load during peak periods, with utilization values and asset type stated. Fewer than 5 is acceptable if fewer assets qualify. 0.5: returns high-EV grid assets but omits peak-period filtering or utilization values. 0.0: empty, refuses, returns total grid utilization without EV-specific filtering, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Which grid areas would benefit most from non-wires alternatives based on projected peak growth?,Target Programs,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns grid areas ranked by projected peak load growth where demand reduction could defer infrastructure upgrades, with growth metrics stated. 0.5: returns high-stress grid areas without a forward-looking or NWA framing. 0.0: empty, refuses, returns historical consumption without a peak-growth or NWA angle, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
How many customers are there in total?,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a single labeled total count of all customers in the dataset. 0.5: returns customer data broken down by segment or without a territory total. 0.0: empty, refuses, returns appliance or consumption data instead of a customer count, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
What was the average evening peak load between 5 PM and 8 PM last month?,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns an average load figure for the 5–8 PM window for the most recent complete month, with the month named. 0.5: returns peak load for the correct window but a different period, or returns total consumption rather than average load. 0.0: empty, refuses, returns load with no 5–8 PM filter applied, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
How many EV users began charging at peak hours on a specific day?,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a count of EV customers with charging activity during peak hours for a given day, stating how peak is defined. 0.5: returns EV charging activity for the broader month without filtering to the specific day. 0.0: empty, refuses, returns data for an entirely different period, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
What percentage of EV customers own large or medium EVs?,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns the percentage of EV customers owning large or medium EVs, with the size categories defined. 0.5: returns counts by size category without converting to percentages, or includes all tiers when only large/medium were asked. 0.0: empty, refuses, returns EV consumption instead of a size breakdown, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
